0,1,2,3,4,5,6,7,8,9,10
canned beer,fish,,,,,,,,,
fruit/vegetable juice,newspapers,,,,,,,,,
herbs,sugar,,,,,,,,,
fruit/vegetable juice,chocolate,cat food,coffee,,,,,,,
pork,whole milk,,,,,,,,,
specialty bar,candy,margarine,,,,,,,,
sliced cheese,cat food,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
photo/film,cream cheese ,,,,,,,,,
sausage,hygiene articles,ice cream,,,,,,,,
frankfurter,bottled water,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
yogurt,oil,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
tropical fruit,specialty bar,whole milk,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
soda,brown bread,rolls/buns,sliced cheese,,,,,,,
yogurt,other vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
turkey,kitchen towels,,,,,,,,,
soda,root vegetables,,,,,,,,,
rolls/buns,male cosmetics,liquor (appetizer),,,,,,,,
berries,pastry,soda,,,,,,,,
shopping bags,whole milk,,,,,,,,,
citrus fruit,soda,,,,,,,,,
pip fruit,nuts/prunes,bottled beer,,,,,,,,
ice cream,bottled beer,brown bread,,,,,,,,
whole milk,pastry,salty snack,,,,,,,,
bottled water,root vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
cling film/bags,canned vegetables,,,,,,,,,
yogurt,shopping bags,cake bar,yogurt,,,,,,,
whole milk,whole milk,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
newspapers,bottled beer,,,,,,,,,
tropical fruit,bottled beer,domestic eggs,rolls/buns,long life bakery product,other vegetables,skin care,,,,
beef,whole milk,,,,,,,,,
herbs,rolls/buns,,,,,,,,,
ham,frozen meals,,,,,,,,,
oil,soda,,,,,,,,,
pork,canned beer,,,,,,,,,
tropical fruit,packaged fruit/vegetables,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
yogurt,liqueur,,,,,,,,,
chocolate marshmallow,yogurt,detergent,,,,,,,,
butter,butter,,,,,,,,,
butter,root vegetables,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
finished products,rolls/buns,,,,,,,,,
white wine,soft cheese,,,,,,,,,
soda,whole milk,,,,,,,,,
rolls/buns,soda,other vegetables,pip fruit,,,,,,,
yogurt,coffee,candy,candles,,,,,,,
beverages,sausage,white bread,bottled water,,,,,,,
onions,oil,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
chocolate marshmallow,newspapers,,,,,,,,,
pastry,specialty chocolate,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
ham,tropical fruit,,,,,,,,,
other vegetables,margarine,other vegetables,,,,,,,,
dessert,onions,,,,,,,,,
sausage,pasta,,,,,,,,,
hamburger meat,sausage,margarine,tropical fruit,pickled vegetables,,,,,,
tropical fruit,bottled water,,,,,,,,,
chicken,long life bakery product,,,,,,,,,
light bulbs,yogurt,,,,,,,,,
waffles,whole milk,shopping bags,flour,shopping bags,,,,,,
hamburger meat,frozen potato products,,,,,,,,,
dessert,domestic eggs,,,,,,,,,
beef,soda,,,,,,,,,
ham,sausage,detergent,whipped/sour cream,yogurt,dishes,,,,,
citrus fruit,bottled water,,,,,,,,,
pip fruit,margarine,,,,,,,,,
zwieback,tropical fruit,,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
brown bread,yogurt,,,,,,,,,
yogurt,beverages,brown bread,,,,,,,,
pip fruit,salty snack,pastry,,,,,,,,
yogurt,whole milk,,,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
frozen vegetables,root vegetables,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
pip fruit,soda,domestic eggs,,,,,,,,
rolls/buns,onions,butter,whole milk,rolls/buns,,,,,,
frankfurter,yogurt,,,,,,,,,
yogurt,soda,yogurt,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
bottled water,hair spray,processed cheese,,,,,,,,
other vegetables,beverages,,,,,,,,,
soda,dishes,,,,,,,,,
whole milk,grapes,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,pasta,,,,,,,,,
candles,canned beer,,,,,,,,,
sausage,dessert,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,curd,yogurt,,,,,,,,
frankfurter,beverages,,,,,,,,,
root vegetables,grapes,soda,,,,,,,,
curd,whole milk,bottled water,,,,,,,,
tropical fruit,beef,cream cheese ,frozen vegetables,,,,,,,
ham,canned beer,salty snack,,,,,,,,
bottled beer,brown bread,whole milk,misc. beverages,,,,,,,
misc. beverages,brown bread,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
shopping bags,sausage,,,,,,,,,
ham,tropical fruit,frozen meals,sparkling wine,,,,,,,
newspapers,coffee,,,,,,,,,
mustard,curd,,,,,,,,,
chewing gum,photo/film,yogurt,long life bakery product,soda,whole milk,,,,,
long life bakery product,butter milk,Instant food products,,,,,,,,
sausage,rolls/buns,,,,,,,,,
other vegetables,soda,pip fruit,brown bread,,,,,,,
frankfurter,whole milk,whole milk,specialty bar,,,,,,,
herbs,white bread,curd cheese,,,,,,,,
butter milk,pip fruit,,,,,,,,,
rolls/buns,condensed milk,whole milk,soda,,,,,,,
citrus fruit,brown bread,,,,,,,,,
sausage,newspapers,,,,,,,,,
pet care,whole milk,,,,,,,,,
pet care,spread cheese,,,,,,,,,
soda,shopping bags,napkins,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
citrus fruit,white wine,bottled beer,newspapers,cat food,,,,,,
oil,other vegetables,rolls/buns,,,,,,,,
condensed milk,cat food,,,,,,,,,
liquor (appetizer),coffee,bottled beer,,,,,,,,
citrus fruit,soda,whipped/sour cream,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
other vegetables,sausage,rolls/buns,domestic eggs,waffles,whole milk,,,,,
dessert,rolls/buns,,,,,,,,,
red/blush wine,instant coffee,,,,,,,,,
pip fruit,butter milk,,,,,,,,,
whole milk,soft cheese,,,,,,,,,
citrus fruit,canned beer,flour,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
chocolate,brown bread,salty snack,,,,,,,,
berries,frozen meals,dish cleaner,,,,,,,,
whole milk,meat,yogurt,yogurt,yogurt,,,,,,
UHT-milk,specialty vegetables,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
root vegetables,Instant food products,,,,,,,,,
sausage,other vegetables,,,,,,,,,
sausage,white wine,hygiene articles,,,,,,,,
soda,UHT-milk,newspapers,white bread,,,,,,,
onions,long life bakery product,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
root vegetables,pastry,,,,,,,,,
sugar,napkins,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
artif. sweetener,sugar,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
beef,coffee,,,,,,,,,
hamburger meat,coffee,,,,,,,,,
beverages,specialty fat,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
ice cream,margarine,sliced cheese,pastry,,,,,,,
sausage,rolls/buns,,,,,,,,,
yogurt,canned beer,,,,,,,,,
yogurt,flower (seeds),,,,,,,,,
pork,cream cheese ,UHT-milk,,,,,,,,
herbs,newspapers,brown bread,,,,,,,,
tropical fruit,sausage,,,,,,,,,
chicken,waffles,,,,,,,,,
tropical fruit,other vegetables,dessert,,,,,,,,
margarine,bottled water,,,,,,,,,
butter,sliced cheese,,,,,,,,,
whole milk,popcorn,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
domestic eggs,bottled water,,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,bottled water,,,,,,,,,
soda,bottled water,,,,,,,,,
waffles,cereals,,,,,,,,,
spread cheese,cream cheese ,shopping bags,,,,,,,,
whole milk,pip fruit,pip fruit,fruit/vegetable juice,,,,,,,
whole milk,root vegetables,soda,,,,,,,,
soda,chocolate,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
pastry,soda,,,,,,,,,
misc. beverages,spread cheese,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
hamburger meat,yogurt,curd cheese,frozen meals,mustard,soda,white wine,butter,,,
finished products,pip fruit,,,,,,,,,
misc. beverages,napkins,,,,,,,,,
domestic eggs,butter,beverages,,,,,,,,
canned beer,shopping bags,hard cheese,,,,,,,,
sausage,tropical fruit,bottled beer,fruit/vegetable juice,,,,,,,
other vegetables,white bread,detergent,,,,,,,,
beverages,cake bar,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
sausage,frozen fruits,,,,,,,,,
yogurt,roll products ,,,,,,,,,
meat,dessert,,,,,,,,,
coffee,butter,,,,,,,,,
sausage,citrus fruit,butter,specialty bar,salty snack,,,,,,
soda,curd,,,,,,,,,
meat,whole milk,ready soups,,,,,,,,
liqueur,whole milk,,,,,,,,,
other vegetables,berries,candy,sliced cheese,,,,,,,
ham,whole milk,whole milk,soda,,,,,,,
root vegetables,fruit/vegetable juice,bottled water,soda,,,,,,,
sparkling wine,waffles,,,,,,,,,
liver loaf,vinegar,whole milk,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
butter,curd,,,,,,,,,
domestic eggs,processed cheese,whole milk,bottled water,,,,,,,
onions,waffles,,,,,,,,,
brown bread,bottled water,,,,,,,,,
other vegetables,beef,tropical fruit,brown bread,cat food,,,,,,
sausage,bottled beer,,,,,,,,,
other vegetables,soda,,,,,,,,,
tea,yogurt,shopping bags,brown bread,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
rolls/buns,grapes,bottled beer,sausage,salty snack,Instant food products,domestic eggs,bottled water,,,
rum,coffee,sliced cheese,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
whipped/sour cream,pickled vegetables,dish cleaner,,,,,,,,
sausage,butter milk,beverages,,,,,,,,
packaged fruit/vegetables,frozen fruits,rolls/buns,,,,,,,,
other vegetables,newspapers,rolls/buns,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
whole milk,mustard,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
bottled water,yogurt,newspapers,soda,,,,,,,
yogurt,citrus fruit,,,,,,,,,
sausage,yogurt,,,,,,,,,
dessert,sugar,,,,,,,,,
onions,soft cheese,,,,,,,,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
curd,light bulbs,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
ham,pork,soda,,,,,,,,
frozen meals,yogurt,rolls/buns,,,,,,,,
frozen dessert,soda,,,,,,,,,
citrus fruit,rum,,,,,,,,,
soda,soda,,,,,,,,,
canned beer,flour,newspapers,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
liver loaf,newspapers,white wine,,,,,,,,
sausage,snack products,rolls/buns,,,,,,,,
mayonnaise,chocolate,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
pork,canned beer,,,,,,,,,
beef,pip fruit,bottled water,margarine,hygiene articles,,,,,,
citrus fruit,soda,,,,,,,,,
ice cream,hamburger meat,shopping bags,whole milk,soft cheese,,,,,,
yogurt,long life bakery product,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
bottled beer,dog food,oil,,,,,,,,
pastry,bottled beer,fruit/vegetable juice,,,,,,,,
whole milk,sugar,,,,,,,,,
newspapers,chicken,root vegetables,curd,,,,,,,
butter,candy,candy,,,,,,,,
butter milk,soda,seasonal products,,,,,,,,
waffles,fruit/vegetable juice,,,,,,,,,
ice cream,butter,,,,,,,,,
liver loaf,processed cheese,,,,,,,,,
hamburger meat,tropical fruit,soda,,,,,,,,
rolls/buns,butter,,,,,,,,,
citrus fruit,cling film/bags,hard cheese,,,,,,,,
beef,white wine,pip fruit,,,,,,,,
sausage,domestic eggs,sweet spreads,,,,,,,,
beverages,sparkling wine,,,,,,,,,
roll products ,soda,other vegetables,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
ham,root vegetables,margarine,whipped/sour cream,,,,,,,
domestic eggs,hamburger meat,,,,,,,,,
grapes,ketchup,,,,,,,,,
canned beer,honey,,,,,,,,,
sausage,whole milk,,,,,,,,,
citrus fruit,other vegetables,frozen vegetables,waffles,,,,,,,
soda,soda,oil,,,,,,,,
berries,whole milk,,,,,,,,,
root vegetables,frozen vegetables,pet care,,,,,,,,
oil,male cosmetics,,,,,,,,,
soda,bottled beer,baking powder,,,,,,,,
napkins,napkins,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
yogurt,frozen dessert,,,,,,,,,
soda,shopping bags,,,,,,,,,
beef,sparkling wine,butter milk,misc. beverages,pastry,,,,,,
yogurt,frozen meals,,,,,,,,,
misc. beverages,whole milk,onions,yogurt,,,,,,,
bottled water,rolls/buns,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
ham,frozen meals,,,,,,,,,
soft cheese,berries,,,,,,,,,
soda,red/blush wine,,,,,,,,,
bottled beer,citrus fruit,frozen potato products,fruit/vegetable juice,sugar,sauces,,,,,
hard cheese,dessert,,,,,,,,,
frankfurter,misc. beverages,,,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
hard cheese,coffee,,,,,,,,,
ham,brown bread,,,,,,,,,
pork,soda,,,,,,,,,
onions,whipped/sour cream,red/blush wine,,,,,,,,
canned fruit,detergent,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
frankfurter,berries,tropical fruit,rolls/buns,,,,,,,
root vegetables,fruit/vegetable juice,berries,newspapers,chewing gum,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
frankfurter,rolls/buns,bottled beer,other vegetables,yogurt,soups,yogurt,UHT-milk,,,
root vegetables,packaged fruit/vegetables,,,,,,,,,
turkey,beef,root vegetables,margarine,shopping bags,curd,,,,,
frankfurter,soda,,,,,,,,,
frankfurter,pastry,,,,,,,,,
root vegetables,grapes,brandy,pickled vegetables,pastry,,,,,,
pastry,herbs,,,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
newspapers,other vegetables,,,,,,,,,
berries,brown bread,,,,,,,,,
canned beer,berries,bottled water,,,,,,,,
tropical fruit,mustard,,,,,,,,,
butter,specialty chocolate,,,,,,,,,
pip fruit,frozen fish,,,,,,,,,
pork,detergent,bottled beer,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
dessert,whole milk,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
sliced cheese,pip fruit,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
beef,whole milk,detergent,,,,,,,,
onions,rolls/buns,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
chocolate,butter,,,,,,,,,
specialty chocolate,sugar,domestic eggs,,,,,,,,
candy,margarine,butter,,,,,,,,
mayonnaise,bottled beer,rolls/buns,specialty fat,,,,,,,
pip fruit,shopping bags,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,white wine,sweet spreads,,,,,,,,
soda,pastry,,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
photo/film,grapes,,,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
coffee,specialty fat,,,,,,,,,
tropical fruit,onions,,,,,,,,,
yogurt,pastry,waffles,,,,,,,,
chicken,shopping bags,other vegetables,whole milk,,,,,,,
ham,rolls/buns,flower (seeds),,,,,,,,
rolls/buns,oil,yogurt,,,,,,,,
coffee,canned fish,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
frankfurter,coffee,,,,,,,,,
meat,root vegetables,,,,,,,,,
coffee,butter,whipped/sour cream,other vegetables,,,,,,,
domestic eggs,softener,,,,,,,,,
brown bread,sausage,rolls/buns,bottled water,,,,,,,
sausage,other vegetables,fruit/vegetable juice,,,,,,,,
onions,specialty vegetables,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
bottled beer,tropical fruit,domestic eggs,baking powder,,,,,,,
root vegetables,UHT-milk,UHT-milk,spread cheese,shopping bags,,,,,,
citrus fruit,frankfurter,salty snack,newspapers,white wine,,,,,,
tropical fruit,cooking chocolate,,,,,,,,,
hamburger meat,butter milk,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
sausage,pip fruit,chocolate,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
napkins,popcorn,,,,,,,,,
citrus fruit,bottled beer,butter milk,,,,,,,,
bottled beer,candy,,,,,,,,,
whole milk,bottled water,,,,,,,,,
bottled beer,curd,kitchen towels,,,,,,,,
sugar,curd,,,,,,,,,
canned beer,yogurt,cream cheese ,,,,,,,,
ice cream,bottled water,,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
napkins,butter,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
shopping bags,white wine,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
berries,long life bakery product,,,,,,,,,
root vegetables,ham,,,,,,,,,
sweet spreads,coffee,,,,,,,,,
specialty bar,condensed milk,,,,,,,,,
tropical fruit,ice cream,frozen fish,,,,,,,,
other vegetables,napkins,,,,,,,,,
other vegetables,soda,frozen potato products,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
beef,chicken,,,,,,,,,
herbs,pasta,,,,,,,,,
coffee,butter milk,,,,,,,,,
pastry,tropical fruit,citrus fruit,coffee,,,,,,,
bottled water,butter,,,,,,,,,
pork,cream cheese ,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
root vegetables,liquor,,,,,,,,,
butter,canned beer,domestic eggs,specialty chocolate,specialty chocolate,soda,root vegetables,canned fish,,,
soda,salty snack,,,,,,,,,
pastry,pet care,margarine,,,,,,,,
soda,roll products ,seasonal products,,,,,,,,
citrus fruit,napkins,,,,,,,,,
rolls/buns,hard cheese,rolls/buns,flour,,,,,,,
root vegetables,chocolate,,,,,,,,,
citrus fruit,bottled beer,rolls/buns,hygiene articles,softener,,,,,,
whole milk,onions,,,,,,,,,
whole milk,coffee,,,,,,,,,
frozen vegetables,yogurt,bottled beer,,,,,,,,
root vegetables,flour,female sanitary products,packaged fruit/vegetables,brown bread,rolls/buns,rolls/buns,sauces,,,
ketchup,whole milk,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
other vegetables,whole milk,yogurt,hard cheese,bottled beer,,,,,,
berries,sausage,tropical fruit,butter,,,,,,,
pastry,other vegetables,,,,,,,,,
soda,sausage,UHT-milk,soda,rolls/buns,,,,,,
curd,soda,ice cream,,,,,,,,
coffee,bottled water,chocolate,,,,,,,,
sweet spreads,rolls/buns,,,,,,,,,
whole milk,root vegetables,rolls/buns,whipped/sour cream,,,,,,,
chicken,berries,whipped/sour cream,,,,,,,,
pasta,hamburger meat,dessert,bottled water,,,,,,,
whole milk,processed cheese,curd cheese,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
onions,other vegetables,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
pastry,snack products,,,,,,,,,
whole milk,sugar,,,,,,,,,
fish,whole milk,,,,,,,,,
soda,frozen potato products,white wine,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
pickled vegetables,hard cheese,,,,,,,,,
berries,whole milk,,,,,,,,,
brandy,specialty bar,chocolate,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
soda,rolls/buns,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pot plants,whipped/sour cream,,,,,,,,,
brown bread,sparkling wine,,,,,,,,,
newspapers,long life bakery product,,,,,,,,,
mustard,shopping bags,shopping bags,,,,,,,,
condensed milk,pork,whole milk,pastry,,,,,,,
whole milk,seasonal products,,,,,,,,,
ham,frozen meals,,,,,,,,,
red/blush wine,domestic eggs,,,,,,,,,
tropical fruit,soda,,,,,,,,,
bottled beer,herbs,,,,,,,,,
other vegetables,hygiene articles,dessert,margarine,fruit/vegetable juice,hygiene articles,,,,,
root vegetables,pip fruit,,,,,,,,,
onions,onions,,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
ham,pastry,,,,,,,,,
frankfurter,dessert,,,,,,,,,
brown bread,detergent,,,,,,,,,
sausage,white bread,coffee,,,,,,,,
specialty bar,waffles,,,,,,,,,
seasonal products,white wine,,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
beef,waffles,salty snack,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
hamburger meat,dessert,newspapers,,,,,,,,
hamburger meat,beverages,margarine,,,,,,,,
pork,pip fruit,,,,,,,,,
tropical fruit,chicken,sausage,organic sausage,other vegetables,whipped/sour cream,other vegetables,butter milk,,,
rolls/buns,rolls/buns,,,,,,,,,
sausage,fruit/vegetable juice,pot plants,,,,,,,,
pastry,detergent,,,,,,,,,
soda,chewing gum,,,,,,,,,
whipped/sour cream,salad dressing,,,,,,,,,
other vegetables,rolls/buns,whole milk,margarine,,,,,,,
sausage,yogurt,,,,,,,,,
soft cheese,bottled beer,,,,,,,,,
frankfurter,beef,frozen fish,rice,napkins,,,,,,
whole milk,soda,pickled vegetables,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
sugar,red/blush wine,,,,,,,,,
sausage,brown bread,meat spreads,,,,,,,,
sweet spreads,soda,,,,,,,,,
rolls/buns,berries,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
root vegetables,canned beer,dessert,chewing gum,,,,,,,
pork,root vegetables,hamburger meat,frankfurter,coffee,curd,cake bar,soda,,,
frankfurter,rolls/buns,coffee,white wine,,,,,,,
pet care,mustard,,,,,,,,,
spread cheese,other vegetables,whole milk,,,,,,,,
canned beer,organic products,whole milk,frozen dessert,misc. beverages,,,,,,
yogurt,brown bread,,,,,,,,,
whipped/sour cream,whole milk,cream cheese ,napkins,,,,,,,
pork,long life bakery product,,,,,,,,,
rolls/buns,dessert,frozen meals,grapes,other vegetables,napkins,other vegetables,,,,
rolls/buns,other vegetables,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,hard cheese,,,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
chicken,yogurt,waffles,,,,,,,,
tropical fruit,prosecco,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
berries,tropical fruit,rolls/buns,pastry,rolls/buns,whole milk,frozen vegetables,,,,
white bread,UHT-milk,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
baby cosmetics,bottled water,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
curd,soda,whole milk,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
butter,bottled water,bottled water,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
pip fruit,tropical fruit,shopping bags,,,,,,,,
margarine,butter milk,,,,,,,,,
butter milk,dessert,,,,,,,,,
bottled beer,nut snack,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
rolls/buns,berries,canned vegetables,dessert,,,,,,,
beverages,domestic eggs,soda,butter milk,,,,,,,
long life bakery product,whole milk,,,,,,,,,
newspapers,napkins,,,,,,,,,
other vegetables,canned vegetables,canned beer,,,,,,,,
canned beer,pip fruit,white bread,,,,,,,,
yogurt,waffles,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
domestic eggs,whole milk,fruit/vegetable juice,,,,,,,,
rolls/buns,nuts/prunes,pastry,fruit/vegetable juice,,,,,,,
brown bread,bottled beer,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
yogurt,pastry,,,,,,,,,
whole milk,baking powder,,,,,,,,,
sausage,other vegetables,oil,candy,,,,,,,
bottled water,tropical fruit,shopping bags,,,,,,,,
onions,bottled water,cream cheese ,hard cheese,,,,,,,
chocolate,soda,,,,,,,,,
yogurt,frozen potato products,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
packaged fruit/vegetables,specialty bar,,,,,,,,,
citrus fruit,curd,,,,,,,,,
hamburger meat,chewing gum,curd,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
ham,brown bread,,,,,,,,,
yogurt,tropical fruit,mayonnaise,curd,soft cheese,,,,,,
rolls/buns,fruit/vegetable juice,frozen vegetables,whipped/sour cream,,,,,,,
pip fruit,whole milk,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
other vegetables,pastry,,,,,,,,,
sausage,ice cream,rolls/buns,,,,,,,,
rolls/buns,dessert,,,,,,,,,
oil,misc. beverages,candy,yogurt,,,,,,,
soda,hamburger meat,,,,,,,,,
whole milk,soda,tea,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
curd,UHT-milk,shopping bags,,,,,,,,
pastry,waffles,other vegetables,whole milk,dental care,house keeping products,frozen vegetables,,,,
bottled beer,domestic eggs,,,,,,,,,
pip fruit,pip fruit,whipped/sour cream,shopping bags,domestic eggs,soda,cake bar,frozen meals,,,
chicken,hygiene articles,,,,,,,,,
soda,oil,,,,,,,,,
yogurt,domestic eggs,pasta,,,,,,,,
soda,flour,,,,,,,,,
white wine,bottled water,,,,,,,,,
ham,yogurt,,,,,,,,,
flower soil/fertilizer,waffles,,,,,,,,,
soda,dish cleaner,,,,,,,,,
pet care,bottled water,,,,,,,,,
pastry,other vegetables,other vegetables,butter milk,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
other vegetables,frozen dessert,,,,,,,,,
pip fruit,turkey,yogurt,root vegetables,other vegetables,chocolate,fruit/vegetable juice,,,,
frankfurter,whipped/sour cream,other vegetables,,,,,,,,
whole milk,onions,,,,,,,,,
salty snack,dessert,,,,,,,,,
semi-finished bread,other vegetables,,,,,,,,,
other vegetables,whole milk,soda,oil,pastry,fruit/vegetable juice,newspapers,,,,
cleaner,pip fruit,pastry,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
whole milk,shopping bags,,,,,,,,,
pork,cream cheese ,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
bottled water,ham,brown bread,yogurt,,,,,,,
sausage,whole milk,long life bakery product,UHT-milk,flour,chocolate,,,,,
turkey,white bread,,,,,,,,,
brown bread,citrus fruit,,,,,,,,,
whole milk,candles,yogurt,,,,,,,,
tropical fruit,soda,canned vegetables,,,,,,,,
soda,pastry,rolls/buns,,,,,,,,
root vegetables,pastry,,,,,,,,,
meat,pip fruit,,,,,,,,,
chicken,bottled water,,,,,,,,,
beef,yogurt,,,,,,,,,
whole milk,processed cheese,,,,,,,,,
margarine,margarine,,,,,,,,,
